school_id,district,facility,enrollment,school_compliance,compliance_bin,protection,protection_bin
A10010010260001,,Seymour High School,248,100.00%,100%,100.00%,100%
A10010010262002,Payson CUSD 1,Seymour Elementary School,315,99.68%,98-99.9%,99.37%,98-99.9%
A10010020260001,Liberty CUSD 2,Liberty High School,283,100.00%,100%,100.00%,100%
A10010020262002,Liberty CUSD 2,Liberty Elementary School,317,99.68%,98-99.9%,99.05%,98-99.9%
A01001002X060000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St James Lutheran,156,92.31%,90-97.9%,98.08%,98-99.9%
A10010030260001,Central CUSD 3,Central High School,252,98.81%,98-99.9%,99.60%,98-99.9%
A10010030261001,Central CUSD 3,Central Junior High School,283,99.29%,98-99.9%,99.65%,98-99.9%
A10010030262003,Central CUSD 3,Central Elementary Grade School,242,98.76%,98-99.9%,97.52%,90-97.9%
A10010030262008,Central CUSD 3,Central 3-4 Middle School,133,100.00%,100%,99.25%,98-99.9%
A10010040260001,CUSD 4,Unity High School,215,100.00%,100%,100.00%,100%
A10010040262006,CUSD 4,Unity Elementary School,214,100.00%,100%,99.07%,98-99.9%
A10010040262007,CUSD 4,Unity Middle School,251,100.00%,100%,100.00%,100%
A01001005X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Dominic School,204,100.00%,100%,98.53%,98-99.9%
A01001006X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Francis Solanus,339,99.71%,98-99.9%,99.71%,98-99.9%
A01001007X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Blessed Sacrament Catholic School,240,99.58%,98-99.9%,98.75%,98-99.9%
A01001009X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Peter School,429,100.00%,100%,98.14%,98-99.9%
A01001012Y100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Quincy Notre Dame High School,402,100.00%,100%,99.00%,98-99.9%
A10011720220003,Quincy SD 172,Quincy Sr High School,1866,99.20%,98-99.9%,99.46%,98-99.9%
A10011720221003,Quincy SD 172,Quincy Jr High School,1428,99.58%,98-99.9%,98.95%,98-99.9%
A10011720222004,Quincy SD 172,Adams Elementary School,340,98.24%,98-99.9%,98.53%,98-99.9%
A10011720222006,Quincy SD 172,Dewey Elementary School,217,99.54%,98-99.9%,98.16%,98-99.9%
A10011720222007,Quincy SD 172,Ellington Elementary School,293,100.00%,100%,99.66%,98-99.9%
A10011720222008,Quincy SD 172,Berrian School,176,98.86%,98-99.9%,97.73%,90-97.9%
A10011720222009,Quincy SD 172,Madison School,342,99.42%,98-99.9%,98.25%,98-99.9%
A10011720222016,Quincy SD 172,Lincoln-Douglas Elementary School,254,100.00%,100%,98.43%,98-99.9%
A10011720222017,Quincy SD 172,Washington Elementary School,220,99.55%,98-99.9%,99.55%,98-99.9%
A10011720222019,Quincy SD 172,Baldwin Intermediate,960,99.90%,98-99.9%,99.27%,98-99.9%
A10011720223004,Quincy SD 172,Early Childhood,527,99.24%,98-99.9%,99.43%,98-99.9%
A10011720223005,Quincy SD 172,Adams Co Juvenile Detention Cntr,14,35.71%,<90%,50.00%,<90%
A10050010260001,Brown County CUSD 1,Brown County High School,200,95.50%,90-97.9%,100.00%,100%
A10050010261002,Brown County CUSD 1,Brown County Middle School,213,99.53%,98-99.9%,100.00%,100%
A10050010262002,Brown County CUSD 1,Brown County Elementary School,318,99.69%,98-99.9%,99.37%,98-99.9%
A01005001X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Mary School,75,98.67%,98-99.9%,97.33%,90-97.9%
A01009002X060000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Trinity Lutheran,41,100.00%,100%,100.00%,100%
A01009003Z260000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Beardstown Christian Academy,118,100.00%,100%,94.07%,90-97.9%
A10090150260007,Beardstown CUSD 15,Beardstown Jr/Sr High School,911,97.59%,90-97.9%,99.01%,98-99.9%
A10090150262003,Beardstown CUSD 15,Gard Elementary School,535,98.50%,98-99.9%,99.25%,98-99.9%
A10090150263002,Beardstown CUSD 15,Grand Ave Sch,152,96.71%,90-97.9%,100.00%,100%
A10090640260003,Virginia CUSD 64,Virginia Jr/ Sr High School,136,100.00%,100%,95.59%,90-97.9%
A10090640262001,Virginia CUSD 64,Virginia Elem School,162,100.00%,100%,100.00%,100%
A10092620260002,A-C Central CUSD 262,A-C Central High School,145,100.00%,100%,99.31%,98-99.9%
A10092620261002,A-C Central CUSD 262,A-C Central Middle School,129,100.00%,100%,100.00%,100%
A10092620262001,A-C Central CUSD 262,A-C Central Elementary School,188,100.00%,100%,99.47%,98-99.9%
A10690010260001,Franklin CUSD 1,Franklin Jr/Sr High School,149,96.64%,90-97.9%,99.33%,98-99.9%
A10690010262004,Franklin CUSD 1,Alexander Elem School,100,100.00%,100%,100.00%,100%
A10690010262005,Franklin CUSD 1,Franklin East Grade School,60,98.33%,98-99.9%,98.33%,98-99.9%
A01069003X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Our Saviour School,315,100.00%,100%,97.14%,90-97.9%
A01069004Y100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Routt Catholic High School,128,100.00%,100%,100.00%,100%
A01069005X060000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Salem Lutheran,107,94.39%,90-97.9%,99.07%,98-99.9%
A10690060260001,Waverly CUSD 6,Waverly Jr/Sr  High School,180,99.44%,98-99.9%,99.44%,98-99.9%
A10690060262002,Waverly CUSD 6,Waverly Elementary School,200,98.00%,98-99.9%,99.00%,98-99.9%
A01069007Z020000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Westfair Christian Academy,117,100.00%,100%,98.29%,98-99.9%
A10690110260001,Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg High Sch,54,100.00%,100%,100.00%,100%
A10690110261001,Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg Jr High,37,100.00%,100%,97.30%,90-97.9%
A10690110262003,Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg Elem Sch,116,100.00%,100%,100.00%,100%
A10690270260001,Triopia CUSD 27,Triopia Jr-Sr High School,167,100.00%,100%,100.00%,100%
A10690270262002,Triopia CUSD 27,Triopia Grade School,220,99.09%,98-99.9%,99.09%,98-99.9%
A10691170220014,Jacksonville SD 117,Jacksonville High School,981,96.74%,90-97.9%,99.59%,98-99.9%
A10691170221013,Jacksonville SD 117,Jacksonville Middle School,520,98.85%,98-99.9%,100.00%,100%
A10691170222001,Jacksonville SD 117,Eisenhower Elem School,329,100.00%,100%,98.48%,98-99.9%
A10691170222005,Jacksonville SD 117,Washington Elem School,308,99.35%,98-99.9%,98.38%,98-99.9%
A10691170222006,Jacksonville SD 117,Lincoln Elem School,288,92.36%,90-97.9%,96.88%,90-97.9%
A10691170222007,Jacksonville SD 117,South Jacksonville Elem School,331,97.58%,90-97.9%,98.49%,98-99.9%
A10691170222008,Jacksonville SD 117,North Jacksonville School,211,98.10%,98-99.9%,99.05%,98-99.9%
A10691170222009,Jacksonville SD 117,Murrayville-Woodson Elem School,167,98.20%,98-99.9%,98.80%,98-99.9%
A10691170223012,Jacksonville SD 117,Walnut Court Early Years Prgm,179,87.71%,<90%,96.09%,90-97.9%
A01075001X140000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Pike County Christian Academy,36,100.00%,100%,97.22%,90-97.9%
A10750030260002,Pleasant Hill CUSD 3,Pleasant Hill High School,81,85.19%,<90%,100.00%,100%
A10750030262001,Pleasant Hill CUSD 3,Pleasant Hill Elem School,239,96.23%,90-97.9%,98.74%,98-99.9%
A10750040260002,Griggsville-Perry CUSD 4,Griggsville-Perry High School,106,98.11%,98-99.9%,100.00%,100%
A10750040261002,Griggsville-Perry CUSD 4,Griggsville-Perry Middle School,118,100.00%,100%,100.00%,100%
A10750040262001,Griggsville-Perry CUSD 4,Griggsville-Perry Primary School,165,100.00%,100%,98.18%,98-99.9%
A10750100260009,Pikeland CUSD 10,Pittsfield High School,342,99.71%,98-99.9%,99.42%,98-99.9%
A10750100262007,Pikeland CUSD 10,Pittsfield South Elem School,334,100.00%,100%,99.40%,98-99.9%
A10750100262010,Pikeland CUSD 10,Pikeland Community School,588,99.32%,98-99.9%,99.83%,98-99.9%
A10750120260001,Western CUSD 12,Western High School,145,99.31%,98-99.9%,100.00%,100%
A10750120261001,Western CUSD 12,Western Jr High School,182,100.00%,100%,100.00%,100%
A10750120262001,Western CUSD 12,Western Barry Elem,234,100.00%,100%,100.00%,100%
A10860020260001,Scott-Morgan CUSD 2,Bluffs High School,65,100.00%,100%,100.00%,100%
A10860020261001,Scott-Morgan CUSD 2,Bluffs Junior High School,34,100.00%,100%,100.00%,100%
A10860020262001,Scott-Morgan CUSD 2,Bluffs Elementary School,133,100.00%,100%,100.00%,100%
A30030010260001,Mulberry Grove CUSD 1,Mulberry Grove Sr High School,109,94.50%,90-97.9%,99.08%,98-99.9%
A30030010261001,Mulberry Grove CUSD 1,Mulberry Grove Jr High School,96,98.96%,98-99.9%,100.00%,100%
A30030010262001,Mulberry Grove CUSD 1,Mulberry Grove Elem School,197,98.98%,98-99.9%,99.49%,98-99.9%
A30030020260001,Bond County CUSD 2,Bond Cty Comm Unit 2 High School,519,100.00%,100%,99.04%,98-99.9%
A30030020261002,Bond County CUSD 2,Greenville Jr High School,295,100.00%,100%,98.64%,98-99.9%
A30030020262003,Bond County CUSD 2,Greenville Elem School,644,100.00%,100%,98.60%,98-99.9%
A30030020262004,Bond County CUSD 2,Pocahontas Center,196,100.00%,100%,100.00%,100%
A30030020262005,Bond County CUSD 2,Sorento Elem School,158,100.00%,100%,99.37%,98-99.9%
A30110010260002,Morrisonville CUSD 1,Morrisonville High School,90,100.00%,100%,100.00%,100%
A30110010261001,Morrisonville CUSD 1,Morrisonville Jr High School,51,100.00%,100%,100.00%,100%
A30110010262001,Morrisonville CUSD 1,Morrisonville Elem School,187,100.00%,100%,100.00%,100%
A03011001X100000,Bond/Christian/Effingham/Fayette/Montgomery ROE,Sacred Heart,172,100.00%,100%,97.67%,90-97.9%
A30110030260006,Taylorville CUSD 3,Taylorville Sr High School,786,99.87%,98-99.9%,99.62%,98-99.9%
A30110030261005,Taylorville CUSD 3,Taylorville Jr High School,768,98.70%,98-99.9%,99.87%,98-99.9%
A30110030262001,Taylorville CUSD 3,Memorial Elem School,334,99.40%,98-99.9%,100.00%,100%
A30110030262003,Taylorville CUSD 3,North Elem School,399,99.75%,98-99.9%,97.99%,90-97.9%
A30110030262005,Taylorville CUSD 3,Stonington Elem School,54,100.00%,100%,100.00%,100%
A03011003Z020000,Bond/Christian/Effingham/Fayette/Montgomery ROE,Faith Bible Christian Academy,40,100.00%,100%,95.00%,90-97.9%
A30110040260002,Edinburg CUSD 4,Edinburg High School,87,100.00%,100%,100.00%,100%
A30110040261001,Edinburg CUSD 4,Edinburg Jr High School,50,100.00%,100%,100.00%,100%
A30110040262001,Edinburg CUSD 4,Edinburg Elem School,141,100.00%,100%,100.00%,100%
A03011004X100000,Bond/Christian/Effingham/Fayette/Montgomery ROE,St Mary School,148,100.00%,100%,100.00%,100%
A03011007X260000,Bond/Christian/Effingham/Fayette/Montgomery ROE,Visionway Christian School,199,100.00%,100%,98.99%,98-99.9%
A30110080260006,Pana CUSD 8,Pana Sr High School,408,99.75%,98-99.9%,99.51%,98-99.9%
A30110080261005,Pana CUSD 8,Pana Jr High School,294,98.98%,98-99.9%,99.32%,98-99.9%
A30110080262001,Pana CUSD 8,Lincoln Elem School,275,100.00%,100%,99.64%,98-99.9%
A30110080262003,Pana CUSD 8,Washington Elem School,338,97.04%,90-97.9%,95.27%,90-97.9%
A30110140240001,South Fork SD 14,South Fork Jr Sr High School,166,75.90%,<90%,98.19%,98-99.9%
A30110140242001,South Fork SD 14,South Fork Elementary School,160,60.00%,<90%,84.38%,<90%
A03025002X060000,Bond/Christian/Effingham/Fayette/Montgomery ROE,Altamont Lutheran Interparish,172,100.00%,100%,98.26%,98-99.9%
A03025003X100000,Bond/Christian/Effingham/Fayette/Montgomery ROE,Sacred Heart School,237,100.00%,100%,100.00%,100%
A03025004Y100000,Bond/Christian/Effingham/Fayette/Montgomery ROE,St Anthony High School,221,100.00%,100%,99.10%,98-99.9%
A03025007X100000,Bond/Christian/Effingham/Fayette/Montgomery ROE,St Anthony Grade School,446,100.00%,100%,98.88%,98-99.9%
A30250100260001,Altamont CUSD 10,Altamont High School,238,100.00%,100%,100.00%,100%
A30250100262002,Altamont CUSD 10,Altamont Grade School,414,99.52%,98-99.9%,98.31%,98-99.9%
A30250200260001,Beecher City CUSD 20,Beecher City Jr-Sr High School,157,100.00%,100%,100.00%,100%
A30250200262003,Beecher City CUSD 20,Beecher City Grade School,151,100.00%,100%,98.68%,98-99.9%
A30250300260001,Dieterich CUSD 30,Dieterich Jr/Sr High School,193,100.00%,100%,99.48%,98-99.9%
A30250300262002,Dieterich CUSD 30,Dieterich Elem School,318,100.00%,100%,97.80%,90-97.9%
A30250400260001,Effingham CUSD 40,Effingham High School,765,99.87%,98-99.9%,99.48%,98-99.9%
A30250400261001,Effingham CUSD 40,Effingham Junior High School,591,99.49%,98-99.9%,99.32%,98-99.9%
A30250400262002,Effingham CUSD 40,Central Grade School,668,100.00%,100%,98.80%,98-99.9%
A30250400262006,Effingham CUSD 40,Early Learning Center,162,98.15%,98-99.9%,96.30%,90-97.9%
A30250400262008,Effingham CUSD 40,South Side Grade School,323,100.00%,100%,99.69%,98-99.9%
A30250500260001,Teutopolis CUSD 50,Teutopolis High School,318,100.00%,100%,99.69%,98-99.9%
A30250500261001,Teutopolis CUSD 50,Teutopolis Junior High School,147,100.00%,100%,96.60%,90-97.9%
A30250500262002,Teutopolis CUSD 50,Teutopolis Grade School,588,100.00%,100%,98.13%,98-99.9%
A03026007X020000,Bond/Christian/Effingham/Fayette/Montgomery ROE,Vandalia Christian Academy,67,100.00%,100%,97.01%,90-97.9%
A30262010260003,Brownstown CUSD 201,Brownstown High School,83,98.80%,98-99.9%,100.00%,100%
A30262010261001,Brownstown CUSD 201,Brownstown Jr High School,56,100.00%,100%,100.00%,100%
A30262010262001,Brownstown CUSD 201,Brownstown Elem School,247,100.00%,100%,99.19%,98-99.9%
A30262020260002,St Elmo CUSD 202,St Elmo Sr High School,122,100.00%,100%,100.00%,100%
A30262020261001,St Elmo CUSD 202,St Elmo Jr High School,74,100.00%,100%,98.65%,98-99.9%
A30262020262001,St Elmo CUSD 202,St Elmo Elem School,247,99.19%,98-99.9%,98.79%,98-99.9%
A30262030260001,Vandalia CUSD 203,Vandalia Community High School,448,99.55%,98-99.9%,99.78%,98-99.9%
A30262030262008,Vandalia CUSD 203,Vandalia Elementary School,492,100.00%,100%,98.58%,98-99.9%
A30262030262009,Vandalia CUSD 203,Vandalia Junior High School,539,100.00%,100%,99.81%,98-99.9%
A30262040260002,Ramsey CUSD 204,Ramsey High School,161,99.38%,98-99.9%,99.38%,98-99.9%
A30262040262001,Ramsey CUSD 204,Ramsey Elem School,292,98.63%,98-99.9%,99.32%,98-99.9%
A30680020260001,Panhandle CUSD 2,Lincolnwood High School,154,100.00%,100%,99.35%,98-99.9%
A30680020261002,Panhandle CUSD 2,Lincolnwood Jr High School,109,100.00%,100%,99.08%,98-99.9%
A30680020262003,Panhandle CUSD 2,Farmersville Elem School,109,99.08%,98-99.9%,99.08%,98-99.9%
A30680020262005,Panhandle CUSD 2,Raymond Grade School,134,100.00%,100%,98.51%,98-99.9%
A30680030260001,Hillsboro CUSD 3,Hillsboro High School,542,99.26%,98-99.9%,99.82%,98-99.9%
A30680030261002,Hillsboro CUSD 3,Hillsboro Jr High School,345,99.71%,98-99.9%,99.71%,98-99.9%
A30680030262003,Hillsboro CUSD 3,Beckemeyer Elem School,582,99.83%,98-99.9%,98.63%,98-99.9%
A30680030262006,Hillsboro CUSD 3,Coffeen Elem School,242,98.76%,98-99.9%,99.59%,98-99.9%
A30680030263101,Hillsboro CUSD 3,Hillsboro Free Methodist Church,32,100.00%,100%,96.88%,90-97.9%
A30680030263102,Hillsboro CUSD 3,Hillsboro Comm Child Dev Ctr,19,100.00%,100%,100.00%,100%
A03068005X060000,Bond/Christian/Effingham/Fayette/Montgomery ROE,Zion Lutheran School,141,99.29%,98-99.9%,97.16%,90-97.9%
A30680120260001,Litchfield CUSD 12,Litchfield Senior High School,407,99.51%,98-99.9%,99.26%,98-99.9%
A30680120261002,Litchfield CUSD 12,Litchfield Middle School,339,98.53%,98-99.9%,100.00%,100%
A30680120262003,Litchfield CUSD 12,J D Colt Elem School,175,100.00%,100%,100.00%,100%
A30680120262004,Litchfield CUSD 12,Madison Park Elem School,191,98.95%,98-99.9%,97.91%,90-97.9%
A30680120262006,Litchfield CUSD 12,Russell Elem School,209,100.00%,100%,100.00%,100%
A30680120263001,Litchfield CUSD 12,Litchfield Prekindergarten,112,99.11%,98-99.9%,98.21%,98-99.9%
A30680220260001,Nokomis CUSD 22,Nokomis Jr/Sr High Sch,308,100.00%,100%,99.68%,98-99.9%
A30680220262003,Nokomis CUSD 22,North Elem School,332,100.00%,100%,100.00%,100%
A04004001X060000,Boone/Winnebago ROE,Immanuel Lutheran School,244,99.59%,98-99.9%,96.72%,90-97.9%
A04004002X100000,Boone/Winnebago ROE,St James School,124,100.00%,100%,99.19%,98-99.9%
A40041000260001,Belvidere CUSD 100,Belvidere High School,1261,98.41%,98-99.9%,99.84%,98-99.9%
A40041000260002,Belvidere CUSD 100,Belvidere North High Sch,1528,96.73%,90-97.9%,99.67%,98-99.9%
A40041000261002,Belvidere CUSD 100,Belvidere South Middle School,849,98.70%,98-99.9%,99.29%,98-99.9%
A40041000261003,Belvidere CUSD 100,Belvidere Central Middle School,983,97.15%,90-97.9%,98.98%,98-99.9%
A40041000262003,Belvidere CUSD 100,Caledonia Elem School,348,99.71%,98-99.9%,95.98%,90-97.9%
A40041000262005,Belvidere CUSD 100,Lincoln Elem School,578,99.83%,98-99.9%,99.48%,98-99.9%
A40041000262007,Belvidere CUSD 100,Perry Elem School,284,100.00%,100%,98.59%,98-99.9%
A40041000262008,Belvidere CUSD 100,Washington Academy,908,99.67%,98-99.9%,98.79%,98-99.9%
A40041000262009,Belvidere CUSD 100,Meehan Elementary School,599,100.00%,100%,98.83%,98-99.9%
A40041000262010,Belvidere CUSD 100,Seth Whitman Elem Sch,677,99.85%,98-99.9%,98.67%,98-99.9%
A40042000260003,North Boone CUSD 200,North Boone High School,516,100.00%,100%,99.22%,98-99.9%
A40042000261001,North Boone CUSD 200,North Boone Middle School,227,100.00%,100%,99.56%,98-99.9%
A40042000262001,North Boone CUSD 200,Capron Elem School,189,100.00%,100%,100.00%,100%
A40042000262002,North Boone CUSD 200,Manchester Elem School,165,100.00%,100%,96.97%,90-97.9%
A40042000262004,North Boone CUSD 200,Poplar Grove Elem School,276,100.00%,100%,97.46%,90-97.9%
A40042000262005,North Boone CUSD 200,North Boone Upper Elem Sch,278,100.00%,100%,99.28%,98-99.9%
A04101001Z020000,Boone/Winnebago ROE,Berean Baptist Christian School,200,99.00%,98-99.9%,92.00%,90-97.9%
A04101002Y100000,Boone/Winnebago ROE,Boylan Central Catholic High Sch,853,100.00%,100%,99.41%,98-99.9%
A04101003X100000,Boone/Winnebago ROE,Holy Family School,362,100.00%,100%,99.72%,98-99.9%
A04101004X060000,Boone/Winnebago ROE,Concordia Lutheran School,107,100.00%,100%,95.33%,90-97.9%
A04101005Z010000,Boone/Winnebago ROE,Keith Country Day School,250,96.00%,90-97.9%,96.00%,90-97.9%
A04101007X100000,Boone/Winnebago ROE,St Bernadette,117,100.00%,100%,100.00%,100%
A04101008X100000,Boone/Winnebago ROE,St Bridget School,376,100.00%,100%,99.73%,98-99.9%
A04101009X100000,Boone/Winnebago ROE,St Edward,122,100.00%,100%,100.00%,100%
A04101010X100000,Boone/Winnebago ROE,St James School,137,100.00%,100%,98.54%,98-99.9%
A04101013X060000,Boone/Winnebago ROE,St Paul Lutheran,60,100.00%,100%,100.00%,100%
A04101014X100000,Boone/Winnebago ROE,St Peter Cathedral School,130,100.00%,100%,99.23%,98-99.9%
A04101017X110000,Boone/Winnebago ROE,Alpine Christian School,52,100.00%,100%,100.00%,100%
A04101020X100000,Boone/Winnebago ROE,St Rita School,262,100.00%,100%,98.85%,98-99.9%
A04101021X100000,Boone/Winnebago ROE,St Peters School,98,100.00%,100%,92.86%,90-97.9%
A04101022Z060000,Boone/Winnebago ROE,Rockford Lutheran School,772,99.87%,98-99.9%,99.61%,98-99.9%
A04101023Z260000,Boone/Winnebago ROE,Rockford Christian Schools,1098,100.00%,100%,95.72%,90-97.9%
A04101026X140000,Boone/Winnebago ROE,House of Grace Learning Ctr,3,0.00%,<90%,100.00%,100%
A04101027X010000,Boone/Winnebago ROE,Spectrum School,83,97.59%,90-97.9%,90.36%,90-97.9%
A04101030Z200000,Boone/Winnebago ROE,North Love Christian School,103,100.00%,100%,88.35%,<90%
A04101032Z140000,Boone/Winnebago ROE,Christian Life Center School,406,99.26%,98-99.9%,95.32%,90-97.9%
A04101070X160000,Boone/Winnebago ROE,Montessori Private Academy Inc,157,96.82%,90-97.9%,94.90%,90-97.9%
A04101088X230000,Boone/Winnebago ROE,Rockford Iqra School,167,83.23%,<90%,76.05%,<90%
A04101094Z100000,Boone/Winnebago ROE,Our Lady Sacred Heart Acad,22,100.00%,100%,90.91%,90-97.9%
A04101096X060000,Boone/Winnebago ROE,Alpine Academy,88,89.77%,<90%,90.91%,90-97.9%
A41011220220002,Harlem UD 122,Harlem High School,1596,97.18%,90-97.9%,98.81%,98-99.9%
A41011220220003,Harlem UD 122,Harlem HS -  9th Grade Campus,487,96.71%,90-97.9%,98.15%,98-99.9%
A41011220221005,Harlem UD 122,Harlem Middle School,1014,95.17%,90-97.9%,95.66%,90-97.9%
A41011220222005,Harlem UD 122,Loves Park Elem School,372,92.47%,90-97.9%,94.89%,90-97.9%
A41011220222006,Harlem UD 122,Maple Elem School,288,89.58%,<90%,90.63%,90-97.9%
A41011220222007,Harlem UD 122,Marquette Elem School,310,97.74%,90-97.9%,98.06%,98-99.9%
A41011220222008,Harlem UD 122,Rock Cut Elem School,429,99.53%,98-99.9%,99.07%,98-99.9%
A41011220222010,Harlem UD 122,Ralston Elem School,338,94.38%,90-97.9%,94.97%,90-97.9%
A41011220222011,Harlem UD 122,Windsor Elem School,433,97.46%,90-97.9%,97.00%,90-97.9%
A41011220222013,Harlem UD 122,Machesney Elem School,410,97.80%,90-97.9%,98.05%,98-99.9%
A41011220222014,Harlem UD 122,Olson Park Elem School,297,97.64%,90-97.9%,97.98%,90-97.9%
A41011220222015,Harlem UD 122,Donald C Parker Early Educ Center,589,92.87%,90-97.9%,93.38%,90-97.9%
A41011310041002,Kinnikinnick CCSD 131,Roscoe Middle School,609,100.00%,100%,98.69%,98-99.9%
A41011310042001,Kinnikinnick CCSD 131,Kinnikinnick School,379,100.00%,100%,97.89%,90-97.9%
A41011310042002,Kinnikinnick CCSD 131,Ledgewood Elem School,388,100.00%,100%,96.65%,90-97.9%
A41011310042003,Kinnikinnick CCSD 131,Stone Creek School,333,100.00%,100%,97.00%,90-97.9%
A41011330041001,Prairie Hill CCSD 133,Willowbrook Middle School,327,100.00%,100%,97.25%,90-97.9%
A41011330042001,Prairie Hill CCSD 133,Prairie Hill Elem School,420,100.00%,100%,97.86%,90-97.9%
A41011340042001,Shirland CCSD 134,Shirland C C School,109,100.00%,100%,99.08%,98-99.9%
A41011400041001,Rockton SD 140,Stephen Mack Middle School,548,100.00%,100%,98.36%,98-99.9%
A41011400042001,Rockton SD 140,Rockton Elem School,515,100.00%,100%,98.45%,98-99.9%
A41011400042002,Rockton SD 140,Whitman Post Elem School,477,100.00%,100%,98.32%,98-99.9%
A41012050250001,Rockford SD 205,Auburn High School,1855,99.41%,98-99.9%,99.25%,98-99.9%
A41012050250002,Rockford SD 205,Rockford East High School,1925,99.74%,98-99.9%,98.86%,98-99.9%
A41012050250003,Rockford SD 205,Guilford High School,1823,99.29%,98-99.9%,98.52%,98-99.9%
A41012050250004,Rockford SD 205,Jefferson High School,1788,99.83%,98-99.9%,99.89%,98-99.9%
A41012050251001,Rockford SD 205,West Middle School,913,99.89%,98-99.9%,99.45%,98-99.9%
A41012050251006,Rockford SD 205,Eisenhower Middle School,949,98.74%,98-99.9%,97.89%,90-97.9%
A41012050251008,Rockford SD 205,Bernard W Flinn Middle School,951,99.89%,98-99.9%,99.68%,98-99.9%
A41012050251009,Rockford SD 205,Abraham Lincoln Middle School,730,99.45%,98-99.9%,98.63%,98-99.9%
A41012050251010,Rockford SD 205,Kennedy Middle School,545,98.35%,98-99.9%,98.17%,98-99.9%
A41012050252014,Rockford SD 205,Barbour Two-Way Lang Immersion,740,99.86%,98-99.9%,99.59%,98-99.9%
A41012050252016,Rockford SD 205,Beyer Elem School,270,99.63%,98-99.9%,97.78%,90-97.9%
A41012050252017,Rockford SD 205,C Henry Bloom Elem School,387,99.74%,98-99.9%,99.74%,98-99.9%
A41012050252018,Rockford SD 205,Brookview Elem School,503,99.60%,98-99.9%,97.42%,90-97.9%
A41012050252019,Rockford SD 205,Clifford P Carlson Elem School,413,100.00%,100%,97.82%,90-97.9%
A04101205025201C,Rockford SD 205,Legacy Acad of Excellence Charter,321,99.69%,98-99.9%,100.00%,100%
A41012050252020,Rockford SD 205,Cherry Valley Elem School,149,100.00%,100%,100.00%,100%
A41012050252022,Rockford SD 205,Conklin Elem School,316,99.37%,98-99.9%,98.42%,98-99.9%
A41012050252024,Rockford SD 205,Ellis Elementary School,461,97.40%,90-97.9%,96.31%,90-97.9%
A41012050252027,Rockford SD 205,Arthur Froberg Elem School,455,99.78%,98-99.9%,98.68%,98-99.9%
A41012050252029,Rockford SD 205,Gregory Elem School,366,100.00%,100%,99.18%,98-99.9%
A04101205025202C,Rockford SD 205,Galapagos Rockford Charter Sch,307,100.00%,100%,100.00%,100%
A41012050252034,Rockford SD 205,Haskell Elementary School,288,98.96%,98-99.9%,98.96%,98-99.9%
A41012050252037,Rockford SD 205,Swan Hillman Elem School,582,98.45%,98-99.9%,97.59%,90-97.9%
A41012050252039,Rockford SD 205,Maud E Johnson Elem School,481,99.58%,98-99.9%,98.54%,98-99.9%
A04101205025203C,Rockford SD 205,Jackson Charter School,404,100.00%,100%,100.00%,100%
A41012050252040,Rockford SD 205,Kishwaukee Elem School,281,99.64%,98-99.9%,99.64%,98-99.9%
A41012050252041,Rockford SD 205,Julia Lathrop Elem School,417,98.80%,98-99.9%,98.08%,98-99.9%
A41012050252043,Rockford SD 205,McIntosh Elementary,355,99.72%,98-99.9%,99.15%,98-99.9%
A41012050252047,Rockford SD 205,John Nelson Elem School,430,99.07%,98-99.9%,98.84%,98-99.9%
A41012050252051,Rockford SD 205,Riverdahl Elem School,628,99.36%,98-99.9%,97.45%,90-97.9%
A41012050252054,Rockford SD 205,Rolling Green,596,98.15%,98-99.9%,97.48%,90-97.9%
A41012050252056,Rockford SD 205,Spring Creek Elem School,412,99.51%,98-99.9%,98.06%,98-99.9%
A41012050252059,Rockford SD 205,A C Thompson Elem School,282,97.16%,90-97.9%,96.45%,90-97.9%
A41012050252063,Rockford SD 205,R K Welsh Elem School,483,99.79%,98-99.9%,98.34%,98-99.9%
A41012050252064,Rockford SD 205,West View Elem School,499,99.40%,98-99.9%,99.60%,98-99.9%
A41012050252066,Rockford SD 205,Whitehead Elem School,582,98.28%,98-99.9%,98.63%,98-99.9%
A41012050252067,Rockford SD 205,White Swan Elem School,177,99.44%,98-99.9%,97.74%,90-97.9%
