school_id,district,facility,enrollment,school_compliance,compliance_bin,protection,protection_bin
A44063001X060000,McHenry ROE,Immanuel Lutheran School,212,98.11%,98-99.9%,87.26%,<90%
A440630020031001,Nippersink SD 2,Nippersink Middle School,433,99.77%,98-99.9%,95.38%,90-97.9%
A440630020032001,Nippersink SD 2,Richmond Grade School,417,100.00%,100%,97.84%,90-97.9%
A440630020032002,Nippersink SD 2,Spring Grove Elementary School,295,100.00%,100%,96.27%,90-97.9%
A44063002Y060000,McHenry ROE,Faith Lutheran High School,85,100.00%,100%,96.47%,90-97.9%
A440630030031001,Fox River Grove Cons SD 3,Fox River Grove Middle School,205,100.00%,100%,98.05%,98-99.9%
A440630030032001,Fox River Grove Cons SD 3,Algonquin Road Elem School,208,100.00%,100%,98.56%,98-99.9%
A44063003X100000,McHenry ROE,St Peter and Paul,320,100.00%,100%,95.31%,90-97.9%
A44063005X100000,McHenry ROE,St Margaret Mary,321,100.00%,100%,99.69%,98-99.9%
A44063009X100000,McHenry ROE,St John The Baptist Catholic Sch,57,100.00%,100%,96.49%,90-97.9%
A44063010X100000,McHenry ROE,Montini Catholic School,231,97.84%,90-97.9%,96.10%,90-97.9%
A440630120260002,Johnsburg CUSD 12,Johnsburg High School,632,98.26%,98-99.9%,98.73%,98-99.9%
A440630120261003,Johnsburg CUSD 12,Johnsburg Jr High School,475,98.95%,98-99.9%,97.68%,90-97.9%
A440630120262001,Johnsburg CUSD 12,Johnsburg Elementary School,355,100.00%,100%,98.59%,98-99.9%
A440630120262002,Johnsburg CUSD 12,Ringwood School Primary Ctr,413,100.00%,100%,98.06%,98-99.9%
A44063014X100000,McHenry ROE,St Mary School,220,100.00%,100%,95.91%,90-97.9%
A440630150041006,McHenry CCSD 15,McHenry Middle School,743,98.52%,98-99.9%,98.52%,98-99.9%
A440630150041007,McHenry CCSD 15,Parkland School,818,99.02%,98-99.9%,98.41%,98-99.9%
A440630150041008,McHenry CCSD 15,Chauncey H Duker School,457,100.00%,100%,99.12%,98-99.9%
A440630150042001,McHenry CCSD 15,Edgebrook Elem School,487,96.10%,90-97.9%,95.07%,90-97.9%
A440630150042002,McHenry CCSD 15,Hilltop Elem School,425,97.88%,90-97.9%,95.06%,90-97.9%
A440630150042003,McHenry CCSD 15,Landmark Elem School,251,99.60%,98-99.9%,97.61%,90-97.9%
A440630150042004,McHenry CCSD 15,Valley View Elem School,600,100.00%,100%,97.67%,90-97.9%
A440630150042005,McHenry CCSD 15,Riverwood Elementary School,621,99.84%,98-99.9%,96.62%,90-97.9%
A44063015X060000,McHenry ROE,Zion Lutheran School,337,100.00%,100%,97.63%,90-97.9%
A44063016Y100000,McHenry ROE,Marian Central Catholic H S,657,100.00%,100%,100.00%,100%
A44063017X100000,McHenry ROE,St Thomas The Apostle,342,100.00%,100%,96.78%,90-97.9%
A440630180042001,Riley CCSD 18,Riley Comm Cons School,295,100.00%,100%,98.31%,98-99.9%
A440630190240002,Alden Hebron SD 19,Alden-Hebron High School,117,98.29%,98-99.9%,99.15%,98-99.9%
A440630190241001,Alden Hebron SD 19,Alden-Hebron Middle School,85,96.47%,90-97.9%,100.00%,100%
A440630190242001,Alden Hebron SD 19,Alden Hebron Elem School,218,98.17%,98-99.9%,97.25%,90-97.9%
A440630260041004,Cary CCSD 26,Cary Jr High School,904,99.89%,98-99.9%,98.89%,98-99.9%
A440630260042002,Cary CCSD 26,Briargate Elem School,428,99.53%,98-99.9%,96.26%,90-97.9%
A440630260042004,Cary CCSD 26,Three Oaks School,585,97.78%,90-97.9%,95.04%,90-97.9%
A440630260042005,Cary CCSD 26,Deer Path Elem School,555,100.00%,100%,98.74%,98-99.9%
A44063032X160000,McHenry ROE,Crystal Lake Montessori,141,98.58%,98-99.9%,89.36%,<90%
A44063034X060000,McHenry ROE,Lord and Savior Lutheran,43,79.07%,<90%,76.74%,<90%
A440630360022001,Harrison SD 36,Harrison Elem School,414,97.58%,90-97.9%,99.28%,98-99.9%
A44063043X160000,McHenry ROE,Montessori Pathways,61,100.00%,100%,85.25%,<90%
A44063045X260000,McHenry ROE,Trinity Oaks Christian Academy,44,95.45%,90-97.9%,97.73%,90-97.9%
A440630460031001,Prairie Grove CSD 46,Prairie Grove Junior High School,259,99.61%,98-99.9%,94.59%,90-97.9%
A440630460032001,Prairie Grove CSD 46,Prairie Grove Elem School,433,100.00%,100%,94.92%,90-97.9%
A44063046X160000,McHenry ROE,McHenry Montessori School,33,100.00%,100%,100.00%,100%
A440630470041004,Crystal Lake CCSD 47,Lundahl Middle School,728,99.86%,98-99.9%,98.49%,98-99.9%
A440630470041005,Crystal Lake CCSD 47,Hannah Beardsley Middle School,1026,99.90%,98-99.9%,99.32%,98-99.9%
A440630470041006,Crystal Lake CCSD 47,Richard F Bernotas Middle Sch,888,100.00%,100%,98.54%,98-99.9%
A440630470042001,Crystal Lake CCSD 47,Canterbury Elem School,449,99.78%,98-99.9%,98.66%,98-99.9%
A440630470042002,Crystal Lake CCSD 47,Husmann Elem School,499,100.00%,100%,95.79%,90-97.9%
A440630470042003,Crystal Lake CCSD 47,Coventry Elem School,585,100.00%,100%,98.29%,98-99.9%
A440630470042005,Crystal Lake CCSD 47,North Elem School,700,100.00%,100%,98.29%,98-99.9%
A440630470042007,Crystal Lake CCSD 47,South Elem School,389,100.00%,100%,96.14%,90-97.9%
A440630470042008,Crystal Lake CCSD 47,West Elem School,528,100.00%,100%,95.45%,90-97.9%
A440630470042009,Crystal Lake CCSD 47,Indian Prairie Elem School,509,100.00%,100%,97.64%,90-97.9%
A440630470042010,Crystal Lake CCSD 47,Woods Creek Elementary School,595,99.66%,98-99.9%,97.14%,90-97.9%
A440630470042011,Crystal Lake CCSD 47,Glacier Ridge Elementary School,658,100.00%,100%,97.87%,90-97.9%
A440630500260001,Harvard CUSD 50,Harvard High School,727,98.49%,98-99.9%,99.45%,98-99.9%
A440630500261002,Harvard CUSD 50,Harvard Jr High School,597,98.83%,98-99.9%,99.50%,98-99.9%
A440630500262003,Harvard CUSD 50,Jefferson Elem School,423,100.00%,100%,99.29%,98-99.9%
A440630500262007,Harvard CUSD 50,Crosby Elem Sch,811,99.26%,98-99.9%,97.90%,90-97.9%
A440630500263001,Harvard CUSD 50,Washington Elem School,207,99.03%,98-99.9%,99.52%,98-99.9%
A440631540160001,Marengo CHSD 154,Marengo High School,704,99.57%,98-99.9%,98.72%,98-99.9%
A440631550160001,CHSD 155,Crystal Lake Central High School,1515,99.01%,98-99.9%,98.94%,98-99.9%
A440631550160002,CHSD 155,Cary-Grove Community High School,1652,100.00%,100%,98.79%,98-99.9%
A440631550160003,CHSD 155,Crystal Lake South High School,1463,100.00%,100%,99.45%,98-99.9%
A440631550160004,CHSD 155,Prairie Ridge High School,1378,100.00%,100%,99.06%,98-99.9%
A440631560160001,McHenry CHSD 156,McHenry High School-West Campus,1536,98.63%,98-99.9%,99.02%,98-99.9%
A440631560160002,McHenry CHSD 156,McHenry  East High School,833,98.20%,98-99.9%,99.28%,98-99.9%
A440631570160001,Richmond-Burton CHSD 157,Richmond-Burton High School,672,99.85%,98-99.9%,97.92%,90-97.9%
A440631580220002,Huntley Community School District 158,Huntley High School,3031,99.74%,98-99.9%,99.04%,98-99.9%
A440631580221002,Huntley Community School District 158,Heineman Middle School,884,100.00%,100%,99.21%,98-99.9%
A440631580221003,Huntley Community School District 158,Marlowe Middle School,1458,99.93%,98-99.9%,98.22%,98-99.9%
A440631580222003,Huntley Community School District 158,Chesak Elementary School,778,100.00%,100%,97.30%,90-97.9%
A440631580222004,Huntley Community School District 158,Leggee Elementary School,864,100.00%,100%,95.95%,90-97.9%
A440631580222005,Huntley Community School District 158,Martin Elementary School,980,99.90%,98-99.9%,98.16%,98-99.9%
A440631580222006,Huntley Community School District 158,Mackeben Elementary School,614,99.84%,98-99.9%,98.37%,98-99.9%
A440631580222007,Huntley Community School District 158,Conley Elementary School,701,99.86%,98-99.9%,98.29%,98-99.9%
